,,model,0
Unnamed: 0,count,Knn,150.0
Unnamed: 0,count,Linear,150.0
Unnamed: 0,count,RF,150.0
Unnamed: 0,count,SVM,150.0
Unnamed: 0,mean,Knn,374.5
Unnamed: 0,mean,Linear,74.5
Unnamed: 0,mean,RF,224.5
Unnamed: 0,mean,SVM,524.5
Unnamed: 0,std,Knn,43.445367992456916
Unnamed: 0,std,Linear,43.445367992456916
Unnamed: 0,std,RF,43.445367992456916
Unnamed: 0,std,SVM,43.445367992456916
Unnamed: 0,min,Knn,300.0
Unnamed: 0,min,Linear,0.0
Unnamed: 0,min,RF,150.0
Unnamed: 0,min,SVM,450.0
Unnamed: 0,25%,Knn,337.25
Unnamed: 0,25%,Linear,37.25
Unnamed: 0,25%,RF,187.25
Unnamed: 0,25%,SVM,487.25
Unnamed: 0,50%,Knn,374.5
Unnamed: 0,50%,Linear,74.5
Unnamed: 0,50%,RF,224.5
Unnamed: 0,50%,SVM,524.5
Unnamed: 0,75%,Knn,411.75
Unnamed: 0,75%,Linear,111.75
Unnamed: 0,75%,RF,261.75
Unnamed: 0,75%,SVM,561.75
Unnamed: 0,max,Knn,449.0
Unnamed: 0,max,Linear,149.0
Unnamed: 0,max,RF,299.0
Unnamed: 0,max,SVM,599.0
MSqE,count,Knn,150.0
MSqE,count,Linear,150.0
MSqE,count,RF,150.0
MSqE,count,SVM,150.0
MSqE,mean,Knn,0.20356883116883115
MSqE,mean,Linear,0.16992164963069645
MSqE,mean,RF,0.17626493246753244
MSqE,mean,SVM,0.16620858446966488
MSqE,std,Knn,0.0017586472699232074
MSqE,std,Linear,0.0002140776828397832
MSqE,std,RF,0.0015349622881183416
MSqE,std,SVM,0.0005593737638565089
MSqE,min,Knn,0.1997402597402597
MSqE,min,Linear,0.1694552608002356
MSqE,min,RF,0.1718142857142857
MSqE,min,SVM,0.1647537456353363
MSqE,25%,Knn,0.20240259740259742
MSqE,25%,Linear,0.1697837675248444
MSqE,25%,RF,0.17528100649350645
MSqE,25%,SVM,0.16584941811860934
MSqE,50%,Knn,0.20350649350649352
MSqE,50%,Linear,0.1699406961050508
MSqE,50%,RF,0.1763812987012987
MSqE,50%,SVM,0.16622045069175234
MSqE,75%,Knn,0.2045714285714285
MSqE,75%,Linear,0.17005883019763507
MSqE,75%,RF,0.1772439285714285
MSqE,75%,SVM,0.16658009839070023
MSqE,max,Knn,0.2083636363636364
MSqE,max,Linear,0.1706131636163015
MSqE,max,RF,0.1822131168831168
MSqE,max,SVM,0.1678949066288751
MAE,count,Knn,150.0
MAE,count,Linear,150.0
MAE,count,RF,150.0
MAE,count,SVM,150.0
MAE,mean,Knn,0.34418528138528137
MAE,mean,Linear,0.3473160043770584
MAE,mean,RF,0.32273619047619045
MAE,mean,SVM,0.29896533816402826
MAE,std,Knn,0.0019394123572899116
MAE,std,Linear,0.0001777604163817141
MAE,std,RF,0.0014538192960413237
MAE,std,SVM,0.0006570792430415968
MAE,min,Knn,0.3394805194805195
MAE,min,Linear,0.3469491717770311
MAE,min,RF,0.3192597402597402
MAE,min,SVM,0.2972079860430973
MAE,25%,Knn,0.3428571428571428
MAE,25%,Linear,0.34715539029524467
MAE,25%,RF,0.3218149350649351
MAE,25%,SVM,0.29846415350620487
MAE,50%,Knn,0.3441558441558441
MAE,50%,Linear,0.34731816170533447
MAE,50%,RF,0.3227922077922078
MAE,50%,SVM,0.2989817757937776
MAE,75%,Knn,0.34538961038961036
MAE,75%,Linear,0.34741718768927177
MAE,75%,RF,0.323564935064935
MAE,75%,SVM,0.29945234727084974
MAE,max,Knn,0.3501298701298701
MAE,max,Linear,0.3478865231237829
MAE,max,RF,0.3268961038961039
MAE,max,SVM,0.3007088490062912
MAPE,count,Knn,150.0
MAPE,count,Linear,150.0
MAPE,count,RF,150.0
MAPE,count,SVM,150.0
MAPE,mean,Knn,-18253.69116548308
MAPE,mean,Linear,-18490.421178847646
MAPE,mean,RF,-16423.29604222449
MAPE,mean,SVM,-12984.131967973708
MAPE,std,Knn,150.73844212059174
MAPE,std,Linear,18.099888874221037
MAPE,std,RF,132.13231050751781
MAPE,std,SVM,88.62756422206718
MAPE,min,Knn,-18597.24077760258
MAPE,min,Linear,-18534.782815180293
MAPE,min,RF,-16775.16553087609
MAPE,min,SVM,-13292.082265744466
MAPE,25%,Knn,-18337.501491898038
MAPE,25%,Linear,-18502.550939961133
MAPE,25%,RF,-16518.023391272873
MAPE,25%,SVM,-13041.636647067739
MAPE,50%,Knn,-18259.578180197383
MAPE,50%,Linear,-18491.624000359254
MAPE,50%,RF,-16419.973427006997
MAPE,50%,SVM,-12976.208061587906
MAPE,75%,Knn,-18162.177271123364
MAPE,75%,Linear,-18478.541303759477
MAPE,75%,RF,-16338.153001659884
MAPE,75%,SVM,-12928.209002544103
MAPE,max,Knn,-17818.01973863894
MAPE,max,Linear,-18447.061233255965
MAPE,max,RF,-15945.294725674528
