,,model,0
Unnamed: 0,count,Knn,150.0
Unnamed: 0,count,Linear,150.0
Unnamed: 0,count,RF,150.0
Unnamed: 0,count,SVM,150.0
Unnamed: 0,mean,Knn,374.5
Unnamed: 0,mean,Linear,74.5
Unnamed: 0,mean,RF,224.5
Unnamed: 0,mean,SVM,524.5
Unnamed: 0,std,Knn,43.445367992456916
Unnamed: 0,std,Linear,43.445367992456916
Unnamed: 0,std,RF,43.445367992456916
Unnamed: 0,std,SVM,43.445367992456916
Unnamed: 0,min,Knn,300.0
Unnamed: 0,min,Linear,0.0
Unnamed: 0,min,RF,150.0
Unnamed: 0,min,SVM,450.0
Unnamed: 0,25%,Knn,337.25
Unnamed: 0,25%,Linear,37.25
Unnamed: 0,25%,RF,187.25
Unnamed: 0,25%,SVM,487.25
Unnamed: 0,50%,Knn,374.5
Unnamed: 0,50%,Linear,74.5
Unnamed: 0,50%,RF,224.5
Unnamed: 0,50%,SVM,524.5
Unnamed: 0,75%,Knn,411.75
Unnamed: 0,75%,Linear,111.75
Unnamed: 0,75%,RF,261.75
Unnamed: 0,75%,SVM,561.75
Unnamed: 0,max,Knn,449.0
Unnamed: 0,max,Linear,149.0
Unnamed: 0,max,RF,299.0
Unnamed: 0,max,SVM,599.0
MSqE,count,Knn,150.0
MSqE,count,Linear,150.0
MSqE,count,RF,150.0
MSqE,count,SVM,150.0
MSqE,mean,Knn,0.1615356444444444
MSqE,mean,Linear,0.14822037880811031
MSqE,mean,RF,0.16478200669737586
MSqE,mean,SVM,0.1852156418857678
MSqE,std,Knn,0.0019007264966358689
MSqE,std,Linear,8.380105051139516e-05
MSqE,std,RF,0.0015924658277738516
MSqE,std,SVM,0.0006985848364662695
MSqE,min,Knn,0.1559466666666666
MSqE,min,Linear,0.1480613903055963
MSqE,min,RF,0.1611346122234629
MSqE,min,SVM,0.1837668581589082
MSqE,25%,Knn,0.16031999999999993
MSqE,25%,Linear,0.14816112064388307
MSqE,25%,RF,0.16380915387448486
MSqE,25%,SVM,0.18475857352802305
MSqE,50%,Knn,0.1613333333333333
MSqE,50%,Linear,0.1482044821088395
MSqE,50%,RF,0.164644287286801
MSqE,50%,SVM,0.18515754409970686
MSqE,75%,Knn,0.1629866666666666
MSqE,75%,Linear,0.1482740712256043
MSqE,75%,RF,0.1656975937035456
MSqE,75%,SVM,0.1855968133394456
MSqE,max,Knn,0.1671466666666667
MSqE,max,Linear,0.148524230902209
MSqE,max,RF,0.1701244311358374
MSqE,max,SVM,0.1879388749845404
MAE,count,Knn,150.0
MAE,count,Linear,150.0
MAE,count,RF,150.0
MAE,count,SVM,150.0
MAE,mean,Knn,0.29566044444444445
MAE,mean,Linear,0.31711470437467415
MAE,mean,RF,0.27664474953627255
MAE,mean,SVM,0.277265281621668
MAE,std,Knn,0.0021808788282102727
MAE,std,Linear,9.98092952447878e-05
MAE,std,RF,0.0014365131254748353
MAE,std,SVM,0.0008519748291737357
MAE,min,Knn,0.2901333333333333
MAE,min,Linear,0.3168850288093163
MAE,min,RF,0.2730675640196611
MAE,min,SVM,0.2762292005051097
MAE,25%,Knn,0.2941333333333333
MAE,25%,Linear,0.31704551037979456
MAE,25%,RF,0.2756538652721908
MAE,25%,SVM,0.2766051742249084
MAE,50%,Knn,0.2957333333333333
MAE,50%,Linear,0.3171047344205273
MAE,50%,RF,0.2765430337806114
MAE,50%,SVM,0.27711769874336506
MAE,75%,Knn,0.2970666666666666
MAE,75%,Linear,0.31717750997247085
MAE,75%,RF,0.2776587575881777
MAE,75%,SVM,0.27768983974869216
MAE,max,Knn,0.3029333333333333
MAE,max,Linear,0.3174047327340401
MAE,max,RF,0.2801226563033847
MAE,max,SVM,0.2809081644597737
MAPE,count,Knn,150.0
MAPE,count,Linear,150.0
MAPE,count,RF,150.0
MAPE,count,SVM,150.0
MAPE,mean,Knn,-15858.529591518132
MAPE,mean,Linear,-16966.504350923435
MAPE,mean,RF,-14001.204497924164
MAPE,mean,SVM,-8125.899587880124
MAPE,std,Knn,224.6179391414282
MAPE,std,Linear,11.294893513633502
MAPE,std,RF,135.935322732382
MAPE,std,SVM,151.27099586812133
MAPE,min,Knn,-16639.86346530132
MAPE,min,Linear,-17007.020552654598
MAPE,min,RF,-14337.77482925064
MAPE,min,SVM,-8672.449589772961
MAPE,25%,Knn,-16019.86233195665
MAPE,25%,Linear,-16972.119336327978
MAPE,25%,RF,-14102.26072059582
MAPE,25%,SVM,-8222.02399589881
MAPE,50%,Knn,-15839.862131954651
MAPE,50%,Linear,-16965.682793526455
MAPE,50%,RF,-13991.50716258748
MAPE,50%,SVM,-8102.416927151808
MAPE,75%,Knn,-15706.529931965983
MAPE,75%,Linear,-16958.47790543658
MAPE,75%,RF,-13892.747789326513
MAPE,75%,SVM,-8019.732328933884
MAPE,max,Knn,-15279.85946526132
MAPE,max,Linear,-16940.034560331427
MAPE,max,RF,-13703.931209753471
