,,model,0
Unnamed: 0,count,Knn,150.0
Unnamed: 0,count,Linear,150.0
Unnamed: 0,count,RF,150.0
Unnamed: 0,count,SVM,150.0
Unnamed: 0,mean,Knn,374.5
Unnamed: 0,mean,Linear,74.5
Unnamed: 0,mean,RF,224.5
Unnamed: 0,mean,SVM,524.5
Unnamed: 0,std,Knn,43.445367992456916
Unnamed: 0,std,Linear,43.445367992456916
Unnamed: 0,std,RF,43.445367992456916
Unnamed: 0,std,SVM,43.445367992456916
Unnamed: 0,min,Knn,300.0
Unnamed: 0,min,Linear,0.0
Unnamed: 0,min,RF,150.0
Unnamed: 0,min,SVM,450.0
Unnamed: 0,25%,Knn,337.25
Unnamed: 0,25%,Linear,37.25
Unnamed: 0,25%,RF,187.25
Unnamed: 0,25%,SVM,487.25
Unnamed: 0,50%,Knn,374.5
Unnamed: 0,50%,Linear,74.5
Unnamed: 0,50%,RF,224.5
Unnamed: 0,50%,SVM,524.5
Unnamed: 0,75%,Knn,411.75
Unnamed: 0,75%,Linear,111.75
Unnamed: 0,75%,RF,261.75
Unnamed: 0,75%,SVM,561.75
Unnamed: 0,max,Knn,449.0
Unnamed: 0,max,Linear,149.0
Unnamed: 0,max,RF,299.0
Unnamed: 0,max,SVM,599.0
MSqE,count,Knn,150.0
MSqE,count,Linear,150.0
MSqE,count,RF,150.0
MSqE,count,SVM,150.0
MSqE,mean,Knn,0.10368410256410253
MSqE,mean,Linear,0.09725367126631954
MSqE,mean,RF,0.0422443726495726
MSqE,mean,SVM,0.04483860502133871
MSqE,std,Knn,0.002544978276612017
MSqE,std,Linear,0.0020067833718166077
MSqE,std,RF,0.0020195197785566332
MSqE,std,SVM,0.0009674785068229137
MSqE,min,Knn,0.0972307692307692
MSqE,min,Linear,0.09234806509867
MSqE,min,RF,0.0373466666666666
MSqE,min,SVM,0.0426191884637795
MSqE,25%,Knn,0.1021538461538461
MSqE,25%,Linear,0.09609349213367047
MSqE,25%,RF,0.040958205128205125
MSqE,25%,SVM,0.044360893334235096
MSqE,50%,Knn,0.1035897435897436
MSqE,50%,Linear,0.09704388871736949
MSqE,50%,RF,0.0422117948717948
MSqE,50%,SVM,0.0449349325958387
MSqE,75%,Knn,0.10517948717948715
MSqE,75%,Linear,0.09844740395825864
MSqE,75%,RF,0.043610769230769175
MSqE,75%,SVM,0.045208836753326105
MSqE,max,Knn,0.1122051282051282
MSqE,max,Linear,0.1052465736374385
MSqE,max,RF,0.047551282051282
MSqE,max,SVM,0.0487851734060156
MAE,count,Knn,150.0
MAE,count,Linear,150.0
MAE,count,RF,150.0
MAE,count,SVM,150.0
MAE,mean,Knn,0.19854358974358968
MAE,mean,Linear,0.24750734962477747
MAE,mean,RF,0.12681059829059824
MAE,mean,SVM,0.13179346310209672
MAE,std,Knn,0.003415688364597423
MAE,std,Linear,0.002950916487921557
MAE,std,RF,0.0033291964144808346
MAE,std,SVM,0.0018424253912436397
MAE,min,Knn,0.1887179487179487
MAE,min,Linear,0.2400990819804756
MAE,min,RF,0.1191794871794871
MAE,min,SVM,0.1281480454292262
MAE,25%,Knn,0.19615384615384615
MAE,25%,Linear,0.24562913549201476
MAE,25%,RF,0.12467948717948713
MAE,25%,SVM,0.13067648829578182
MAE,50%,Knn,0.1989743589743589
MAE,50%,Linear,0.24725805772179865
MAE,50%,RF,0.12684615384615378
MAE,50%,SVM,0.1314336679437797
MAE,75%,Knn,0.201025641025641
MAE,75%,Linear,0.24928839788441104
MAE,75%,RF,0.12893589743589745
MAE,75%,SVM,0.1326500770893436
MAE,max,Knn,0.2061538461538462
MAE,max,Linear,0.2563575108922465
MAE,max,RF,0.1352820512820512
MAE,max,SVM,0.1392014049576901
MAPE,count,Knn,150.0
MAPE,count,Linear,150.0
MAPE,count,RF,150.0
MAPE,count,SVM,150.0
MAPE,mean,Knn,-2658.2895777675717
MAPE,mean,Linear,-2475.2835832164606
MAPE,mean,RF,-2386.392779825234
MAPE,mean,SVM,-4508.280301732672
MAPE,std,Knn,64.56154074857953
MAPE,std,Linear,94.45882030685509
MAPE,std,RF,125.08593943358908
MAPE,std,SVM,159.61647554915723
MAPE,min,Knn,-2974.1897418974186
MAPE,min,Linear,-2724.896306551414
MAPE,min,RF,-2753.7412297199894
MAPE,min,SVM,-5205.94548613913
MAPE,25%,Knn,-2666.496408553829
MAPE,25%,Linear,-2535.709621365031
MAPE,25%,RF,-2460.152191265502
MAPE,25%,SVM,-4498.85612205329
MAPE,50%,Knn,-2666.494357251264
MAPE,50%,Linear,-2460.033373220812
MAPE,50%,RF,-2384.517101581272
MAPE,50%,SVM,-4460.653431043307
MAPE,75%,Knn,-2666.490254646136
MAPE,75%,Linear,-2401.5846821044715
MAPE,75%,RF,-2303.7419989584514
MAPE,75%,SVM,-4423.7648437466905
MAPE,max,Knn,-2461.3682034256235
MAPE,max,Linear,-2313.000095449766
MAPE,max,RF,-2071.688409191784
